archivo,material,rugosidad,rugosidad_rms,asimetria,curtosis,espesor_promedio,altura_maxima,altura_minima,num_islas,densidad_islas,cobertura_fraccional,energia_difusion,tasa_eventos,energia_promedio,etapa,cobertura_10,cobertura_20,cobertura_30,cobertura_60
Cr_3d_altura_c001_s002_ed0.12_te50000._ep 2.0.dat,Cr,4.488092316341097,6.122515822764364,0.6429643682472399,-0.7740887312767599,4.1644,19.0,0.0,4,0.0016,54.64,0.12,50000.0,0.0,coalescencia,11.16,0.0,0.0,0.0
Cr_3d_altura_c002_s001_ed0.03_te50000._ep 2.0.dat,Cr,2.6043624632527633,3.0673115264022335,1.398322921283447,0.8925540163365433,1.6204,13.0,0.0,112,0.0448,32.0,0.03,50000.0,0.0,coalescencia,0.24,0.0,0.0,0.0
Fe_3d_altura_c001_s004_ed0.67_te50000._ep 2.0.dat,Fe,8.42483349152967,14.296810833189337,-0.0028309662766168235,-1.1882498392065792,11.5508,30.0,0.0,1,0.0004,77.2,0.67,50000.0,0.0,crecimiento,56.76,16.32,0.0,0.0
Fe_3d_altura_c002_s003_ed0.60_te50000._ep 2.0.dat,Fe,6.301317639986101,9.806467253807561,0.2001128481348193,-1.196635310641332,7.514,24.0,0.0,1,0.0004,69.28,0.6,50000.0,0.0,crecimiento,36.08,0.9199999999999999,0.0,0.0
Fe_3d_altura_c001_s005_ed0.67_te50000._ep 2.0.dat,Fe,9.664881838905222,18.19411992925187,-0.309337533220553,-1.1624872316996235,15.4148,30.0,0.0,1,0.0004,83.28,0.67,50000.0,0.0,crecimiento,68.88,37.04,0.0,0.0
Cr_3d_altura_c002_s003_ed0.03_te50000._ep 2.0.dat,Cr,6.331363252886379,9.697628576100447,0.21643097238219158,-1.2699019408396848,7.3456,22.0,0.0,1,0.0004,67.64,0.03,50000.0,0.0,crecimiento,35.96,0.44,0.0,0.0
Fe_3d_altura_c002_s005_ed0.60_te50000._ep 2.0.dat,Fe,9.170553667036685,17.52902735464806,-0.3122249608883829,-1.040683562767196,14.9388,30.0,0.0,1,0.0004,83.72,0.6,50000.0,0.0,crecimiento,68.96,32.84,0.0,0.0
Fe_3d_altura_c001_s003_ed0.67_te50000._ep 2.0.dat,Fe,6.6826526349945805,10.054551208283739,0.3731097877294104,-0.9467151737583679,7.5124,27.0,0.0,2,0.0008,67.24,0.67,50000.0,0.0,crecimiento,36.16,2.64,0.0,0.0
Fe_3d_altura_c001_s006_ed0.67_te50000._ep 2.0.dat,Fe,9.664881838905222,18.19411992925187,-0.309337533220553,-1.1624872316996235,15.4148,30.0,0.0,1,0.0004,83.28,0.67,50000.0,0.0,crecimiento,68.88,37.04,0.0,0.0
Cr_3d_altura_c002_s004_ed0.03_te50000._ep 2.0.dat,Cr,8.102363852604991,13.718352670783762,-0.019100514213606985,-1.2103301172834608,11.07,30.0,0.0,1,0.0004,76.72,0.03,50000.0,0.0,crecimiento,55.32,13.36,0.0,0.0
Cr_3d_altura_c001_s006_ed0.12_te50000._ep 2.0.dat,Cr,9.45635366512907,17.838340730011858,-0.3201861347675346,-1.1612356226260734,15.1256,30.0,0.0,1,0.0004,83.44,0.12,50000.0,0.0,crecimiento,67.75999999999999,36.04,0.0,0.0
Cr_3d_altura_c002_s005_ed0.03_te50000._ep 2.0.dat,Cr,9.443779548464692,17.685338560513905,-0.30489067513371726,-1.1328563268915737,14.9528,30.0,0.0,1,0.0004,82.56,0.03,50000.0,0.0,crecimiento,68.64,33.92,0.0,0.0
Fe_3d_altura_c002_s006_ed0.60_te50000._ep 2.0.dat,Fe,9.170553667036685,17.52902735464806,-0.3122249608883829,-1.040683562767196,14.9388,30.0,0.0,1,0.0004,83.72,0.6,50000.0,0.0,crecimiento,68.96,32.84,0.0,0.0
Cr_3d_altura_c001_s004_ed0.12_te50000._ep 2.0.dat,Cr,8.123372698577851,13.913619227217625,-0.03291814912282366,-1.2123916356862792,11.296,30.0,0.0,1,0.0004,77.92,0.12,50000.0,0.0,crecimiento,55.2,13.68,0.0,0.0
Cr_3d_altura_c001_s003_ed0.12_te50000._ep 2.0.dat,Cr,6.361037651201257,9.803795183499092,0.26295198370194683,-1.1339684813638793,7.46,24.0,0.0,1,0.0004,69.04,0.12,50000.0,0.0,crecimiento,35.52,1.08,0.0,0.0
Cr_3d_altura_c001_s005_ed0.12_te50000._ep 2.0.dat,Cr,9.45635366512907,17.838340730011858,-0.3201861347675346,-1.1612356226260734,15.1256,30.0,0.0,1,0.0004,83.44,0.12,50000.0,0.0,crecimiento,67.75999999999999,36.04,0.0,0.0
Fe_3d_altura_c002_s001_ed0.60_te50000._ep 2.0.dat,Fe,2.642628872921811,3.131006228035965,1.31614367206747,0.6092749690227697,1.6792,14.0,0.0,98,0.0392,32.6,0.6,50000.0,0.0,coalescencia,0.24,0.0,0.0,0.0
Fe_3d_altura_c001_s002_ed0.67_te50000._ep 2.0.dat,Fe,4.711580609519485,6.338233192302095,0.7753876627551269,-0.3150308387718139,4.2396,24.0,0.0,9,0.0036,53.64,0.67,50000.0,0.0,coalescencia,11.88,0.2,0.0,0.0
Fe_3d_altura_c002_s004_ed0.60_te50000._ep 2.0.dat,Fe,7.972479905274143,13.854183483699066,-0.0491941673690094,-1.0844841872472064,11.3304,30.0,0.0,1,0.0004,78.44,0.6,50000.0,0.0,crecimiento,56.52,12.0,0.0,0.0
Fe_3d_altura_c002_s002_ed0.60_te50000._ep 2.0.dat,Fe,4.551178326543578,6.204675656309522,0.6055804899148312,-0.8734815322561724,4.2172,20.0,0.0,4,0.0016,54.0,0.6,50000.0,0.0,coalescencia,11.44,0.0,0.0,0.0
Cr_3d_altura_c002_s002_ed0.03_te50000._ep 2.0.dat,Cr,4.51779882686248,6.075656343145159,0.679545916237626,-0.7963618865715509,4.0624,19.0,0.0,6,0.0024,52.88,0.03,50000.0,0.0,coalescencia,11.08,0.0,0.0,0.0
Cr_3d_altura_c001_s001_ed0.12_te50000._ep 2.0.dat,Cr,2.584361429831362,3.053326055304281,1.3334798070946623,0.6032605535007924,1.626,12.0,0.0,104,0.0416,32.16,0.12,50000.0,0.0,coalescencia,0.16,0.0,0.0,0.0
Cr_3d_altura_c002_s006_ed0.03_te50000._ep 2.0.dat,Cr,9.443779548464692,17.685338560513905,-0.30489067513371726,-1.1328563268915737,14.9528,30.0,0.0,1,0.0004,82.56,0.03,50000.0,0.0,crecimiento,68.64,33.92,0.0,0.0
Fe_3d_altura_c001_s001_ed0.67_te50000._ep 2.0.dat,Fe,2.5717844699741073,3.0337435620038815,1.3806031434353225,0.914546245055762,1.6092,13.0,0.0,113,0.0452,31.96,0.67,50000.0,0.0,coalescencia,0.36,0.0,0.0,0.0
